id,placeId,googlePlaceId,descriptorType,targetPlaceId,targetDisplayName,spatialRelationship,straightLineDistanceMeters,travelDistanceMeters,containment
3710,1845,ChIJ7QmgMAAhiocRq7N5VgqtCuY,area,ChIJf1o5oEYhiocR1PYwcr-J6z0,Blue Wing Wildlife Management Area,,,,OUTSKIRTS
3711,1846,ChIJ93NfaMSKiYcRlHTDdujlLWk,area,ChIJn2wsdMSKiYcRcyi3K3M5GEA,Veterans Memorial Park,,,,WITHIN
3712,1847,ChIJrco2M2CiiYcR21m2zga4ET8,landmark,ChIJsUFZzGGiiYcRSAIZ9iSGha4,Walmart Supercenter,AROUND_THE_CORNER,270.3411,196.59589,
3713,1847,ChIJrco2M2CiiYcR21m2zga4ET8,landmark,ChIJrULdE2KiiYcRrVMdKHmuZxQ,Runnings,,467.23547,462.83118,
3714,1847,ChIJrco2M2CiiYcR21m2zga4ET8,landmark,ChIJxapc4WGiiYcRU4jGpwU9bSA,Culver’s,,264.79358,421.09436,
3715,1847,ChIJrco2M2CiiYcR21m2zga4ET8,landmark,ChIJteSSzGGiiYcRSLwSx1_8JyA,Perkins American Food Co.,,222.26924,303.8203,
3716,1847,ChIJrco2M2CiiYcR21m2zga4ET8,landmark,ChIJoVSHrmGiiYcRXjPFaTZiz5w,Dairy Queen Grill & Chill,,401.22437,447.75568,
3717,1847,ChIJrco2M2CiiYcR21m2zga4ET8,area,ChIJrco2M2CiiYcR-IcDssJXYpc,McCrory Gardens,,,,WITHIN
3718,1850,ChIJf3-7PqqjiYcRj4ssw24WscI,landmark,ChIJeRJszKujiYcRtkaZSCics3A,Brookings Public Library,,104.09825,183.24239,
3719,1850,ChIJf3-7PqqjiYcRj4ssw24WscI,landmark,ChIJ9TuTkqmjiYcRkyeYxKwLBFE,Swiftel Communications,AROUND_THE_CORNER,101.38159,92.39554,
3720,1850,ChIJf3-7PqqjiYcRj4ssw24WscI,landmark,ChIJefHvdamjiYcRBJMVSyp9wU4,Cubby's Sports Bar & Grill,AROUND_THE_CORNER,240.26671,283.34528,
3721,1850,ChIJf3-7PqqjiYcRj4ssw24WscI,landmark,ChIJy3mnUKqjiYcRbgj5Rem-B7c,Brookings County Courthouse,,160.6852,333.5019,
3722,1850,ChIJf3-7PqqjiYcRj4ssw24WscI,landmark,ChIJZx2vDgejiYcRY7kMNi1InIc,Brookings Farmers Market,AROUND_THE_CORNER,100.51888,133.31183,
3723,1851,ChIJLd0WVbpZiocRofK6uxSOTs4,landmark,ChIJYT8QKwxZiocR_G6KCqnD-wY,Marshall 6 Theatre,,279.20157,391.58337,
3724,1851,ChIJLd0WVbpZiocRofK6uxSOTs4,landmark,ChIJqQoqagxZiocRYoQeceCh1vg,U.S. Bank Branch,,410.0789,482.12408,
3725,1851,ChIJLd0WVbpZiocRofK6uxSOTs4,landmark,ChIJl1I7HwxZiocRfMXwWqPMmMQ,Casey's,,413.14255,449.14438,
3726,1851,ChIJLd0WVbpZiocRofK6uxSOTs4,landmark,ChIJAahLGgxZiocR5uH-JbucShc,Varsity Pub & Extra Innings,,330.86948,432.04767,
3727,1851,ChIJLd0WVbpZiocRofK6uxSOTs4,landmark,ChIJKY3z185ZiocRgT7C-HJ7pMI,Kuay Loo Klay,,121.97758,187.00572,
3728,1851,ChIJLd0WVbpZiocRofK6uxSOTs4,area,ChIJjT17ug9ZiocROz33DT5psdk,Liberty Park,,,,OUTSKIRTS
3729,1852,ChIJcS6__Hy2ylIRE-kp0I0C9XE,landmark,ChIJi0cwAYe2ylIRGLLlhZVLC6s,Speedway,,380.45822,0.0,
3730,1852,ChIJcS6__Hy2ylIRE-kp0I0C9XE,landmark,ChIJa-cnSX22ylIRdLwNp6qKIPU,Bethany Reformed Church,,211.2619,0.0,
3731,1852,ChIJcS6__Hy2ylIRE-kp0I0C9XE,landmark,ChIJMdW0jUtUtVIRXKwBI_c3sDQ,Citizens Alliance Bank,,162.13373,0.0,
3732,1852,ChIJcS6__Hy2ylIRE-kp0I0C9XE,landmark,ChIJTYFexWK2ylIRcwBWKil65bU,MACCRAY High School,,368.9401,0.0,
3733,1852,ChIJcS6__Hy2ylIRE-kp0I0C9XE,landmark,ChIJ9xxnfX22ylIRdQMrYBMLo1Y,R & R Bakery,,221.59053,0.0,
3734,1852,ChIJcS6__Hy2ylIRE-kp0I0C9XE,area,ChIJSTBJ_Xy2ylIRMbZbYaKJFBA,"Clara city, Community park",,,,WITHIN
3735,1853,ChIJNVbFSDRZiocRkxE_bqxoGcE,area,ChIJ0z0G95hZiocR4hSwgUriM4o,Freedom Park,,,,OUTSKIRTS
3736,1854,ChIJtVK_-F82y1IRvzact8EuiVg,landmark,ChIJsersqF82y1IRunpVLhML1zg,Picket Fence Motel,,263.54453,468.48218,
3737,1854,ChIJtVK_-F82y1IRvzact8EuiVg,landmark,ChIJax67bzo3y1IRukrF3-ltRO8,DAWSON BASEBALL FIELD,DOWN_THE_ROAD,102.99137,89.11261,
3738,1854,ChIJtVK_-F82y1IRvzact8EuiVg,landmark,ChIJiSp-ovU2y1IR4bsn5xfU58I,Lee Motor Company,,315.41153,401.123,
3739,1854,ChIJtVK_-F82y1IRvzact8EuiVg,landmark,ChIJ94JfUVw2y1IRUlI_CA5hdWs,CT SALES LLC,,245.16603,481.88022,
3740,1854,ChIJtVK_-F82y1IRvzact8EuiVg,landmark,ChIJL-jril42y1IRVDnA-LRNL-g,Erickson Chevrolet Pontiac Inc,,343.87527,456.85648,
3741,1854,ChIJtVK_-F82y1IRvzact8EuiVg,area,ChIJtVK_-F82y1IRCqg2k_VfqTM,Dawson,,,,WITHIN
3742,1855,ChIJo0QOdwT-9IcRSozrcEXL5jU,landmark,ChIJo3CggAP-9IcRcr3FcamMjWo,The Hermann Monument Society,BESIDE,72.38653,11.930626,
3743,1855,ChIJo0QOdwT-9IcRSozrcEXL5jU,landmark,ChIJD8sFMQT-9IcRNvQpP06Gwso,Concord Dormitory,,231.71089,252.13843,
3744,1855,ChIJo0QOdwT-9IcRSozrcEXL5jU,landmark,ChIJb-5cMQT-9IcRwE7XHdwyej8,Augustana Dormitory,,246.955,284.04697,
3745,1855,ChIJo0QOdwT-9IcRSozrcEXL5jU,landmark,ChIJNS51XQT-9IcRAakUIVIDzNA,MLC Library,,180.52223,318.6254,
3746,1855,ChIJo0QOdwT-9IcRSozrcEXL5jU,area,ChIJo0QOdwT-9IcRsbcFpULPrn8,Hermann Heights Park,,,,WITHIN
3747,1856,ChIJ0ZrPSKQD9YcRnvmOsI9poj4,landmark,ChIJeWacmR8C9YcRMde1Mzm0P8s,Brown County License Bureau,,106.96446,136.38191,
3748,1856,ChIJ0ZrPSKQD9YcRnvmOsI9poj4,landmark,ChIJHa63S_UB9YcRSnyx84dYBi8,New Ulm Body Shop and Glass,,295.0878,459.55835,
3749,1856,ChIJ0ZrPSKQD9YcRnvmOsI9poj4,landmark,ChIJWWNhgB8C9YcRODIdIKyGcPE,Mike's Collision & Repair Center,,183.73248,253.625,
3750,1856,ChIJ0ZrPSKQD9YcRnvmOsI9poj4,landmark,ChIJGb8djgwB9YcRRAYb9PTjRJ8,The Beauty Spot,,325.59726,472.0281,
3751,1856,ChIJ0ZrPSKQD9YcRnvmOsI9poj4,area,ChIJ_faTYvUB9YcRK8W9lMaqueU,North Park Splash Pad,,,,OUTSKIRTS
3752,1857,ChIJ7_GD9c2g9YcRl2DVartYj7w,landmark,ChIJ7aDtu9Kg9YcRcaMwQ4e6h4U,Winthrop AMOCO - Farmers Co-op Oil Company of Renville,,327.07043,416.96677,
3753,1857,ChIJ7_GD9c2g9YcRl2DVartYj7w,landmark,ChIJhXGPy9uh9YcRLgAOBD2MONw,The Corner Pizza,,292.4602,318.65942,
3754,1857,ChIJ7_GD9c2g9YcRl2DVartYj7w,landmark,ChIJafBJJa-h9YcRKBlC5wX4wR4,Uncle Charlie's Flowers II,,385.54904,411.19382,
3755,1857,ChIJ7_GD9c2g9YcRl2DVartYj7w,area,ChIJS2DQ9M2g9YcR7077qDJozWU,Winthrop City Park,,,,NEAR
3756,1858,ChIJqfpjHrWB9YcRrU1oHD-XN5g,landmark,ChIJLyeoxjSA9YcRPxpx09jlXAQ,Hutchinson Burich Arena,,99.70094,116.95809,
3757,1858,ChIJqfpjHrWB9YcRrU1oHD-XN5g,landmark,ChIJ0YNVo2-A9YcRomuMt-JOG84,Cash Wise Foods Grocery Store,,268.88843,499.17676,
3758,1858,ChIJqfpjHrWB9YcRrU1oHD-XN5g,landmark,ChIJ7cCTujSA9YcRVKlJ75yV0OM,Hutchinson Recreation Center,BESIDE,15.535205,0.0011444092,
3759,1858,ChIJqfpjHrWB9YcRrU1oHD-XN5g,landmark,ChIJS0DHSeiB9YcRiavXxZi0oaA,Marshalls,,354.35577,491.8317,
3760,1858,ChIJqfpjHrWB9YcRrU1oHD-XN5g,landmark,ChIJg8W95sqB9YcRQiP4nb4DtPk,Caribou Coffee,,289.12726,468.67386,
3761,1858,ChIJqfpjHrWB9YcRrU1oHD-XN5g,area,ChIJqwLohTSA9YcRxRnYvruuG9E,Linden Park,,,,NEAR
3762,1859,ChIJFWF2Rfnh9IcRQO0Q9pVNclo,landmark,ChIJ4ztjIwfg9IcRt1oqc72KK3s,NAPA Auto Parts - Auto & Truck Parts of Sleepy Eye,,314.57855,414.50595,
3763,1859,ChIJFWF2Rfnh9IcRQO0Q9pVNclo,landmark,ChIJueK49wPg9IcR4D1PNX8lI-Q,Sleepy Eye Stained Glass,DOWN_THE_ROAD,137.90227,131.19337,
3764,1859,ChIJFWF2Rfnh9IcRQO0Q9pVNclo,landmark,ChIJdwLUB_7f9IcRENBZBQWSQxw,Subway,,381.9133,384.4435,
