id,parkId,campgroundId,credit,title,altText,caption,url
470,,145,NPS Photo,"Coast Campsite 8. June 18, 2022.","A campsite containing two small tents, two picnic tables, and two food storage lockers.",Coast Campsite 8,https://www.nps.gov/common/uploads/structured_data/E6C4A994-F889-8F45-B647A796F8DD3189.jpg
471,,145,NPS Photo,"Coast Campsite 9. August 20, 2022.","A campsite containing two small tents, a picnic table, and a food storage locker.",Coast Campsite 9,https://www.nps.gov/common/uploads/structured_data/C65E88F7-A7B9-0C6A-59DF67E438664413.jpg
472,,145,NPS Photo,"Coast Campsite 10. August 20, 2022.",A campsite containing a picnic table and a food storage locker at the edge of a shrub-covered hill.,Coast Campsite 10,https://www.nps.gov/common/uploads/structured_data/C667BD61-A3D1-0F6B-140279954C838024.jpg
473,,145,NPS Photo,"Coast Campsite 11. August 20, 2022.",A campsite containing a picnic table and a food storage locker in front of a shrub-covered hill.,Coast Campsite 11,https://www.nps.gov/common/uploads/structured_data/C670C650-C6A3-6179-0548B87EE79A58F4.jpg
474,,145,NPS Photo,"Coast Campsite 12. August 20, 2022.",A campsite containing a picnic table and a food storage locker in front of a shrub-covered hill.,Coast Campsite 12,https://www.nps.gov/common/uploads/structured_data/C676B1F0-AFC2-39A7-86F53604F0902A00.jpg
475,,145,NPS Photo,"Coast Campsite 13. August 20, 2022.",A campsite containing two picnic tables & two food storage lockers in front of a shrub-covered hill.,Coast Campsite 13,https://www.nps.gov/common/uploads/structured_data/C67BC529-DDA1-902D-3238EE7016908852.jpg
476,,145,NPS Photo,"Coast Campsite 14. August 20, 2022.",A campsite containing a picnic table and a food storage locker in front of a shrub-covered hill.,Coast Campsite 14,https://www.nps.gov/common/uploads/structured_data/C6810C80-BBB2-3977-2F1F362388F54B37.jpg
477,,146,NPS Photo,Cold Springs Campsite,A picnic table and fire ring near trees,A campsite along the wetter side of the campground,https://www.nps.gov/common/uploads/structured_data/3E03AD01-CC73-8422-06A9B7A5B4BC7E11.jpg
478,,146,NPS Photo,Path to Walk-in Sites,A rustic sign points to rocky steps,A short walk from parking spots leads to the walk-in sites,https://www.nps.gov/common/uploads/structured_data/3E15D557-AC94-9351-17327940521C78AB.jpg
479,,146,NPS Photo,Accessible Restroom,A sloping concrete path leads to a primitive toilet,"This vault toilet has a paved, wide path to its entrance.",https://www.nps.gov/common/uploads/structured_data/3E228A6C-0F39-FE02-5674E99F8D1D07B2.jpg
480,,147,NPS Photo,Cold Springs Campground Map,"A map of Cold Springs Campground showing locations of campsites, restrooms, water, and more.","Cold Springs Campground is open for the summer season only. Most sites are first-come, first served. Groups sites are by reservation only.",https://www.nps.gov/common/uploads/structured_data/A8064C1D-BE6F-B912-5CCDB878DD7914F2.jpg
481,,148,NPS / Anthony Killion,Colonial Creek North Campground,"A forested campsite with a picnic table, tent pad, and bear box.",A campsite in Colonial Creek North Campground.,https://www.nps.gov/common/uploads/structured_data/29A59E31-0704-EE99-DF9ED9D902FC8B5F.jpg
482,,149,NPS Photo,Colonial Creek Campground,Wooden campground sign in front of a cabin.,Entrance station for Colonial Creek Campground on Diablo Lake.,https://www.nps.gov/common/uploads/structured_data/B932A0B2-EC0D-C6F7-60975555E5D4D7E7.jpg
483,,150,NPS Photo,Lees Ferry Upriver Camping - Ferry Swale,River beach with shrubs and vault toilet,Ferry Swale is one of five designated camping sites upriver of Lees Ferry,https://www.nps.gov/common/uploads/structured_data/0791D19C-C5C8-C7E2-B5A11332AFA8D8F6.jpg
484,,150,NPS Photo,Lees Ferry Upriver Camping - Ferry Swale View,Canyon wall from river level,Ferry Swale is an easy landmark to help find the camp site,https://www.nps.gov/common/uploads/structured_data/07A92067-A28C-805E-6AE286C8B551DC57.jpg
485,,150,NPS Photo,Lees Ferry Upriver Camping - River,River in deep sandstone canyon,The view is pretty nice when you motor or paddle up to one of the designated camping sites,https://www.nps.gov/common/uploads/structured_data/08896FC3-0441-B080-AFED8F29498FEF45.jpg
486,,151,NPS Photo / Petersen,Colter Bay Amphitheater,outside amphitheater with visitors sitting on benches and a ranger on stage making a presentation,Enjoy a ranger program at the amphitheater!,https://www.nps.gov/common/uploads/structured_data/3C8088D6-1DD8-B71B-0BD6E9B3CBA6ABDD.jpg
487,,151,NPS Photo / A. Mattson,Colter Bay Campground Tent Site,Conifers behind a light gray dome tent and camp chairs,The campground has sites for both tents and RVs.,https://www.nps.gov/common/uploads/structured_data/3C808BED-1DD8-B71B-0BFAEF498B083A0D.jpg
488,,151,NPS Photo / A. Mattson,Colter Bay Campground Trailer site,two small white trailers at campsites with conifers surrounding them,Campsites for trailers with shade.,https://www.nps.gov/common/uploads/structured_data/3C808DA0-1DD8-B71B-0BA8AA421A860FA3.jpg
489,,151,NPS Photo / Petersen,Colter Bay Campground Sign,Brown wooden park service sign with campground information and RV park information,The Colter Bay campground and RV park provide accommodations for many park visitors.,https://www.nps.gov/common/uploads/structured_data/3C808756-1DD8-B71B-0BDEA41A64591908.jpg
490,,151,NPS Photo / A. Mattson,Colter Bay Campground Entrance Booth,vehicles waiting to pay camping fees at entrance booth to campground,Pay your campground fee to these helpful people.,https://www.nps.gov/common/uploads/structured_data/3C808A34-1DD8-B71B-0B9DB2E0797E3ACB.jpg
491,,152,NPS Photo / E. Helton,Colter Bay RV Park Office,RV park brown log cabin with green door and flowers in barrels,Campers looking for full hookups may stay at the Colter Bay RV Park.,https://www.nps.gov/common/uploads/structured_data/3C80A5B6-1DD8-B71B-0B0995834E03EE91.jpg
